BindingDB_12	BEROCCA PN; BIOTIN
BindingDB_16673	NEXAVAR; SORAFENIB TOSYLATE
BindingDB_17289	THEELIN; ESTRONE
BindingDB_17638	INDO-LEMMON; INDOMETHACIN
BindingDB_18069	BACTRIM; TRIMETHOPRIM
BindingDB_18121	NUTRESTORE; GLUTAMINE
BindingDB_18129	TPN; TYROSINE
BindingDB_18133	AMINOACETIC ACID 1.5% IN PLASTIC CONTAINER; GLYCINE
BindingDB_18189	ANDROID-F; FLUOXYMESTERONE
BindingDB_18207	AEROSEB-DEX; DEXAMETHASONE
BindingDB_18375	EZETIMIBE; SIMVASTATIN; SIMVASTATIN
BindingDB_18525	BICALUTAMIDE; BICALUTAMIDE
BindingDB_18627	KORLYM; MIFEPRISTONE
BindingDB_18723	KORLYM; MIFEPRISTONE
BindingDB_18796	ALIMTA; PEMETREXED
BindingDB_18957	CORDARONE; AMIODARONE HYDROCHLORIDE
BindingDB_19023	ELIQUIS; APIXABAN
BindingDB_19149	ZOLINZA; VORINOSTAT
BindingDB_19151	ISTODAX; ROMIDEPSIN
BindingDB_19190	CHLOROPTIC-P S.O.P.; PREDNISOLONE
BindingDB_19264	MYFORTIC; MYCOPHENOLIC ACID
BindingDB_19441	EVISTA; RALOXIFENE HYDROCHLORIDE
BindingDB_20461	QUTENZA; CAPSAICIN
BindingDB_20607	NOLVADEX; TAMOXIFEN CITRATE
BindingDB_20625	DIETHYLSTILBESTROL; DIETHYLSTILBESTROL
BindingDB_21398	HALDOL; HALOPERIDOL
BindingDB_21642	CAPOTEN; CAPTOPRIL
BindingDB_21690	CIPRO; CIPROFLOXACIN
BindingDB_21691	NALIDIXIC ACID; NALIDIXIC ACID
BindingDB_22164	LIPITOR; ATORVASTATIN CALCIUM
BindingDB_22360	8-HOUR BAYER; ASPIRIN
BindingDB_22369	VIOXX; ROFECOXIB
BindingDB_22372	ACTINEX; MASOPROCOL
BindingDB_22476	ACETASOL HC; HYDROCORTISONE
BindingDB_22869	CLOZAPINE; CLOZAPINE
BindingDB_22870	AMOXAPINE; AMOXAPINE
BindingDB_22871	ADASUVE; LOXAPINE
BindingDB_22874	ALLEGRA; FEXOFENADINE HYDROCHLORIDE
BindingDB_22875	ATARAX; HYDROXYZINE HYDROCHLORIDE
BindingDB_22876	ALAVERT; LORATADINE
BindingDB_22889	CIMETIDINE; CIMETIDINE
BindingDB_22891	CALCIUM CARBONATE, FAMOTIDINE AND MAGNESIUM HYDROXIDE; FAMOTIDINE
BindingDB_22893	RANITIDINE; RANITIDINE
BindingDB_22925	NIPENT; PENTOSTATIN
BindingDB_22985	ARALEN; CHLOROQUINE PHOSPHATE
BindingDB_23233	PRISMASOL B22GK 2/0 IN PLASTIC CONTAINER; LACTIC ACID
BindingDB_23406	ACARBOSE; ACARBOSE
BindingDB_23447	AMPHICOL; CHLORAMPHENICOL
BindingDB_23515	ADVICOR; NIACIN
BindingDB_23516	WAMPOCAP; NIACIN
BindingDB_23620	AGGRENOX; DIPYRIDAMOLE
BindingDB_23954	VENTAVIS; ILOPROST
BindingDB_24182	BACLOFEN; BACLOFEN
BindingDB_24567	ALLI; ORLISTAT
BindingDB_24778	MENADIONE; MENADIONE
BindingDB_24782	AQUAMEPHYTON; PHYTONADIONE
BindingDB_24961	ALPHADERM; UREA
BindingDB_25392	NORISODRINE; ISOPROTERENOL SULFATE
BindingDB_25751	BISOPROLOL FUMARATE; BISOPROLOL FUMARATE
BindingDB_25753	ATENOLOL; ATENOLOL
BindingDB_25758	NORMODYNE; LABETALOL HYDROCHLORIDE
BindingDB_25759	CARVEDILOL; CARVEDILOL
BindingDB_25766	CORGARD; NADOLOL
BindingDB_25767	BETIMOL; TIMOLOL
BindingDB_25769	ALBUTEROL; ALBUTEROL
BindingDB_25770	BRETHAIRE; TERBUTALINE SULFATE
BindingDB_25771	ADVAIR DISKUS 100/50; SALMETEROL XINAFOATE
BindingDB_25817	DIFLUCAN; FLUCONAZOLE
BindingDB_25897	DIUCARDIN; HYDROFLUMETHIAZIDE
BindingDB_25898	HYDROMOX; QUINETHAZONE
BindingDB_25899	DIULO; METOLAZONE
BindingDB_25900	ATENOLOL AND CHLORTHALIDONE; CHLORTHALIDONE
BindingDB_25901	INDAPAMIDE; INDAPAMIDE
BindingDB_25902	FUROSEMIDE; FUROSEMIDE
BindingDB_25903	BUMETANIDE; BUMETANIDE
BindingDB_26263	FLUMAZENIL; FLUMAZENIL
BindingDB_26265	ESZOPICLONE; ESZOPICLONE
BindingDB_26266	AMBIEN; ZOLPIDEM TARTRATE
BindingDB_27507	BEROCCA PN; NIACINAMIDE
BindingDB_28681	AVANDIA; ROSIGLITAZONE MALEATE
BindingDB_28699	ATROMID-S; CLOFIBRATE
BindingDB_28700	ANTARA (MICRONIZED); FENOFIBRATE
BindingDB_28761	AVANDIA; ROSIGLITAZONE MALEATE
BindingDB_28803	FENOFIBRIC ACID; CHOLINE FENOFIBRATE
BindingDB_29405	MIOCHOL; ACETYLCHOLINE CHLORIDE
BindingDB_30130	FLUOXETINE; FLUOXETINE HYDROCHLORIDE
BindingDB_30705	RILUTEK; RILUZOLE
BindingDB_30708	SANSERT; METHYSERGIDE MALEATE
BindingDB_31046	ORAVERSE; PHENTOLAMINE MESYLATE
BindingDB_31089	SPRYCEL; DASATINIB
BindingDB_31688	A/T/S; ERYTHROMYCIN
BindingDB_31712	DIAL; HEXACHLOROPHENE
BindingDB_31768	EXTINA; KETOCONAZOLE
BindingDB_31769	TERAZOL 3; TERCONAZOLE
BindingDB_31770	EXELDERM; SULCONAZOLE NITRATE
BindingDB_31772	MONISTAT; MICONAZOLE
BindingDB_31773	ECONAZOLE NITRATE; ECONAZOLE NITRATE
BindingDB_31774	CLOTRIMAZOLE; CLOTRIMAZOLE
BindingDB_31775	GRISEOFULVIN; GRISEOFULVIN, MICROSIZE
BindingDB_31891	ATRALIN; TRETINOIN
BindingDB_31892	PANRETIN; ALITRETINOIN
BindingDB_31915	CIDOFOVIR; CIDOFOVIR
BindingDB_32017	CERUBIDINE; DAUNORUBICIN HYDROCHLORIDE
BindingDB_32022	ADRIAMYCIN PFS; DOXORUBICIN HYDROCHLORIDE
BindingDB_32023	PYLERA; TETRACYCLINE
BindingDB_32024	AGGRENOX; DIPYRIDAMOLE
BindingDB_32332	AMILORIDE HYDROCHLORIDE; AMILORIDE HYDROCHLORIDE
BindingDB_32367	IRESSA; GEFITINIB
BindingDB_34103	ALCOHOL 10% AND DEXTROSE 5%; DEXTROSE
BindingDB_34168	ADVICOR; LOVASTATIN
BindingDB_34179	OXCARBAZEPINE; OXCARBAZEPINE
BindingDB_35228	LUDIOMIL; MAPROTILINE HYDROCHLORIDE
BindingDB_35254	OLANZAPINE; OLANZAPINE
BindingDB_35440	ALLOPURINOL; ALLOPURINOL
BindingDB_36351	DOCEFREZ; DOCETAXEL
BindingDB_37534	ARESTIN; MINOCYCLINE HYDROCHLORIDE
BindingDB_37535	AUREOMYCIN; CHLORTETRACYCLINE HYDROCHLORIDE
BindingDB_37536	TERRAMYCIN; OXYTETRACYCLINE
BindingDB_37631	HEXALEN; ALTRETAMINE
BindingDB_38549	HY-PAM "25"; HYDROXYZINE PAMOATE
BindingDB_38872	MARQIBO KIT; VINCRISTINE SULFATE
BindingDB_39338	ANISOTROPINE METHYLBROMIDE; ANISOTROPINE METHYLBROMIDE
BindingDB_39340	SULFAPYRIDINE; SULFAPYRIDINE
BindingDB_39342	BETHANECHOL CHLORIDE; BETHANECHOL CHLORIDE
BindingDB_39344	PROCAINAMIDE HCL; PROCAINAMIDE HYDROCHLORIDE
BindingDB_39347	CLOBETASOL PROPIONATE; CLOBETASOL PROPIONATE
BindingDB_39348	PIPERACILLIN; PIPERACILLIN SODIUM
BindingDB_39350	CINOBAC; CINOXACIN
BindingDB_39351	ALDOCLOR-150; CHLOROTHIAZIDE
BindingDB_39862	EMSAM; SELEGILINE
BindingDB_40128	NABUMETONE; NABUMETONE
BindingDB_40491	DIENESTROL; DIENESTROL
BindingDB_41098	FELODIPINE; FELODIPINE
BindingDB_41132	ARISTOCORT; TRIAMCINOLONE
BindingDB_42131	CECLOR; CEFACLOR
BindingDB_44576	DECADRON-LA; DEXAMETHASONE ACETATE
BindingDB_44577	ALLERNAZE; TRIAMCINOLONE ACETONIDE
BindingDB_44578	CORDRAN; FLURANDRENOLIDE
BindingDB_45440	NEBUPENT; PENTAMIDINE ISETHIONATE
BindingDB_46355	DIGOXIN; DIGOXIN
BindingDB_46356	CRYSTODIGIN; DIGITOXIN
BindingDB_47715	DEFEROXAMINE MESYLATE; DEFEROXAMINE MESYLATE
BindingDB_48320	CLOPRA; METOCLOPRAMIDE HYDROCHLORIDE
BindingDB_48449	ALDOCLOR-150; METHYLDOPA
BindingDB_48532	HEAVY SOLUTION NUPERCAINE; DIBUCAINE HYDROCHLORIDE
BindingDB_48918	PROVOCHOLINE; METHACHOLINE CHLORIDE
BindingDB_51318	COSMEGEN; DACTINOMYCIN
BindingDB_51319	ELLENCE; EPIRUBICIN HYDROCHLORIDE
BindingDB_52947	ATRIDOX; DOXYCYCLINE HYCLATE
BindingDB_52989	ARESTIN; MINOCYCLINE HYDROCHLORIDE
BindingDB_53206	CEFDINIR; CEFDINIR
BindingDB_53381	ATRIDOX; DOXYCYCLINE HYCLATE
BindingDB_53382	OXY-KESSO-TETRA; OXYTETRACYCLINE HYDROCHLORIDE
BindingDB_53513	CEPHALOTHIN; CEPHALOTHIN SODIUM
BindingDB_54795	BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE DIHYDRATE; NALOXONE HYDROCHLORIDE
BindingDB_55216	ADASUVE; LOXAPINE
BindingDB_55354	CLOMID; CLOMIPHENE CITRATE
BindingDB_57045	FURADANTIN; NITROFURANTOIN
BindingDB_57046	CEFOXITIN; CEFOXITIN SODIUM
BindingDB_58492	FARESTON; TOREMIFENE CITRATE
BindingDB_59083	COLY-MYCIN S; THONZONIUM BROMIDE
BindingDB_59256	M-ZOLE 3 COMBINATION PACK; MICONAZOLE NITRATE
BindingDB_59397	DYNABAC; DIRITHROMYCIN
BindingDB_60212	EMBEDA; NALTREXONE HYDROCHLORIDE
BindingDB_60917	CORLOPAM; FENOLDOPAM MESYLATE
BindingDB_60986	DEPINAR; TANNIC ACID
BindingDB_60992	MEMBRANEBLUE; TRYPAN BLUE
BindingDB_61400	HALFLYTELY; BISACODYL
BindingDB_61792	LOPRESSIDONE; METOPROLOL TARTRATE
BindingDB_63804	FLUVOXAMINE MALEATE; FLUVOXAMINE MALEATE
BindingDB_66979	LISINOPRIL; LISINOPRIL
BindingDB_70294	BROMOCRIPTINE MESYLATE; BROMOCRIPTINE MESYLATE
BindingDB_70448	ELOXATIN; OXALIPLATIN
BindingDB_73822	DANAZOL; DANAZOL
BindingDB_73823	CELESTONE; BETAMETHASONE
BindingDB_74260	PRANTAL; DIPHEMANIL METHYLSULFATE
BindingDB_74574	BILTRICIDE; PRAZIQUANTEL
BindingDB_77930	BECLOVENT; BECLOMETHASONE DIPROPIONATE
BindingDB_77970	ANAFRANIL; CLOMIPRAMINE HYDROCHLORIDE
BindingDB_78433	FLUPHENAZINE HCL; FLUPHENAZINE HYDROCHLORIDE
BindingDB_78434	COMPAZINE; PROCHLORPERAZINE
BindingDB_78435	POVAN; PYRVINIUM PAMOATE
BindingDB_78436	TORECAN; THIETHYLPERAZINE MALATE
BindingDB_78576	NAVANE; THIOTHIXENE
BindingDB_78577	BEPADIN; BEPRIDIL HYDROCHLORIDE
BindingDB_79022	ZELNORM; TEGASEROD MALEATE
BindingDB_79170	LARIAM; MEFLOQUINE HYDROCHLORIDE
BindingDB_79206	BUTOCONAZOLE NITRATE; BUTOCONAZOLE NITRATE
BindingDB_79214	HALFAN; HALOFANTRINE HYDROCHLORIDE
BindingDB_80643	CEFOTETAN; CEFOTETAN DISODIUM
BindingDB_81194	OXYPHENBUTAZONE; OXYPHENBUTAZONE
BindingDB_81379	CICLOPIROX; CICLOPIROX
BindingDB_81463	LONITEN; MINOXIDIL
BindingDB_81470	TACARYL; METHDILAZINE
BindingDB_82056	NISOLDIPINE; NISOLDIPINE
BindingDB_82130	SPRYCEL; DASATINIB
BindingDB_82241	PEPTAVLON; PENTAGASTRIN
BindingDB_82266	CODEINE SULFATE; CODEINE SULFATE
BindingDB_82371	MYDRIACYL; TROPICAMIDE
BindingDB_82397	SECREFLO; SECRETIN
BindingDB_82408	ACTH; CORTICOTROPIN
BindingDB_82479	OLANZAPINE; OLANZAPINE
BindingDB_82627	CEFUROXIME AND DEXTROSE IN DUPLEX CONTAINER; CEFUROXIME SODIUM
BindingDB_83450	ALFENTA; ALFENTANIL HYDROCHLORIDE
BindingDB_83451	CODOXY; OXYCODONE HYDROCHLORIDE
BindingDB_83973	BEROCCA PN; CYANOCOBALAMIN
BindingDB_84007	SUPRAX; CEFIXIME
BindingDB_84214	DULERA; FORMOTEROL FUMARATE
BindingDB_84343	ADVAIR DISKUS 100/50; SALMETEROL XINAFOATE
BindingDB_84348	AKPRO; DIPIVEFRIN HYDROCHLORIDE
BindingDB_84747	CAPRELSA; VANDETANIB
BindingDB_85031	OXAZEPAM; OXAZEPAM
BindingDB_85094	DDAVP; DESMOPRESSIN ACETATE
BindingDB_85178	ARTHROTEC; MISOPROSTOL
BindingDB_85242	HELIDAC; BISMUTH SUBSALICYLATE
BindingDB_85245	FELDENE; PIROXICAM
BindingDB_85330	ONDANSETRON HYDROCHLORIDE; ONDANSETRON HYDROCHLORIDE
BindingDB_85372	MALATHION; MALATHION
BindingDB_85511	TORADOL; KETOROLAC TROMETHAMINE
BindingDB_86052	CABERGOLINE; CABERGOLINE
BindingDB_86187	NAVANE; THIOTHIXENE
BindingDB_86210	OXYTOCIN; OXYTOCIN
BindingDB_86245	PINDAC; PINACIDIL
BindingDB_86248	DIAZOXIDE; DIAZOXIDE
BindingDB_86260	NALOXONE; NALOXONE HYDROCHLORIDE
BindingDB_86493	VIVITROL; NALTREXONE
BindingDB_86521	SONATA; ZALEPLON
BindingDB_86537	QUTENZA; CAPSAICIN
BindingDB_86734	GLEEVEC; IMATINIB MESYLATE
BindingDB_86748	DESVENLAFAXINE; DESVENLAFAXINE
BindingDB_87330	VUMON; TENIPOSIDE
BindingDB_88962	SUPRAX; CEFIXIME
BindingDB_91406	FLUOR-OP; FLUOROMETHOLONE
BindingDB_91683	CELEBREX; CELECOXIB
BindingDB_92396	DOXYCHEL; DOXYCYCLINE
BindingDB_92401	TERRAMYCIN; OXYTETRACYCLINE
BindingDB_92463	IMIPENEM AND CILASTATIN; IMIPENEM
BindingDB_92478	ATRACURIUM BESYLATE; ATRACURIUM BESYLATE
BindingDB_94248	CARBINOXAMINE MALEATE; CARBINOXAMINE MALEATE
BindingDB_94503	SUFENTA PRESERVATIVE FREE; SUFENTANIL CITRATE
BindingDB_94597	ALAWAY; KETOTIFEN FUMARATE
BindingDB_94606	CLEMASTINE FUMARATE; CLEMASTINE FUMARATE
BindingDB_94919	CEFDINIR; CEFDINIR
BindingDB_96262	E-MYCIN E; ERYTHROMYCIN ETHYLSUCCINATE
BindingDB_96559	TYZINE; TETRAHYDROZOLINE HYDROCHLORIDE
BindingDB_96801	VASOCON-A; ANTAZOLINE PHOSPHATE
BindingDB_97162	RITODRINE HCL; RITODRINE HYDROCHLORIDE
BindingDB_50000092	AMBENYL; BROMODIPHENHYDRAMINE HYDROCHLORIDE
BindingDB_50000334	AGRYLIN; ANAGRELIDE HYDROCHLORIDE
BindingDB_50000483	SANCUSO; GRANISETRON
BindingDB_50000491	CLOPRA; METOCLOPRAMIDE HYDROCHLORIDE
BindingDB_50000493	ONDANSETRON; ONDANSETRON
BindingDB_50000541	ZYFLO; ZILEUTON
BindingDB_50000766	DIASTAT; DIAZEPAM
BindingDB_50000778	ADALAT; NIFEDIPINE
BindingDB_50000788	NALOXONE; NALOXONE HYDROCHLORIDE
BindingDB_50001018	RUBEX; DOXORUBICIN HYDROCHLORIDE
BindingDB_50001028	TALACEN; ACETAMINOPHEN
BindingDB_50001707	CODOXY; ASPIRIN
BindingDB_50001728	ALPRAZOLAM; ALPRAZOLAM
BindingDB_50001765	HALCION; TRIAZOLAM
BindingDB_50001839	TAXOL; PACLITAXEL
BindingDB_50001859	BUSPAR; BUSPIRONE HYDROCHLORIDE
BindingDB_50001884	CLOZAPINE; CLOZAPINE
BindingDB_50001885	RISPERDAL; RISPERIDONE
BindingDB_50001886	STELAZINE; TRIFLUOPERAZINE HYDROCHLORIDE
BindingDB_50001888	PROMAPAR; CHLORPROMAZINE HYDROCHLORIDE
BindingDB_50001920	DEXMEDETOMIDINE HYDROCHLORIDE; DEXMEDETOMIDINE HYDROCHLORIDE
BindingDB_50001922	ALBALON; NAPHAZOLINE HYDROCHLORIDE
BindingDB_50001955	APOKYN; APOMORPHINE HYDROCHLORIDE
BindingDB_50002087	ZADITOR; KETOTIFEN FUMARATE
BindingDB_50002096	OLOPATADINE HYDROCHLORIDE; OLOPATADINE HYDROCHLORIDE
BindingDB_50002316	BENDOPA; LEVODOPA
BindingDB_50002338	MELLARIL; THIORIDAZINE HYDROCHLORIDE
BindingDB_50002692	ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE; ZIDOVUDINE
BindingDB_50002730	AMLODIPINE,VALSARTAN AND HYDROCHLOROTHIAZIDE; AMLODIPINE
BindingDB_50002861	DAYPRO; OXAPROZIN
BindingDB_50003086	COL-PROBENECID; COLCHICINE
BindingDB_50003407	COZAAR; LOSARTAN POTASSIUM
BindingDB_50003616	DEPAKENE; VALPROIC ACID
BindingDB_50003655	DILANTIN; PHENYTOIN
BindingDB_50003659	CARBAMAZEPINE; CARBAMAZEPINE
BindingDB_50003677	LEUKERAN; CHLORAMBUCIL
BindingDB_50004108	HABITROL; NICOTINE
BindingDB_50004545	ABITREXATE; METHOTREXATE SODIUM
BindingDB_50004656	CARBACHOL; CARBACHOL
BindingDB_50004704	CARDIZEM; DILTIAZEM HYDROCHLORIDE
BindingDB_50005414	ACTIVELLA; ESTRADIOL
BindingDB_50005506	RANITIDINE; RANITIDINE
BindingDB_50005536	MAZANOR; MAZINDOL
BindingDB_50005835	IMITREX; SUMATRIPTAN
BindingDB_50005836	PROPULSID; CISAPRIDE MONOHYDRATE
BindingDB_50006109	EULEXIN; FLUTAMIDE
BindingDB_50006412	PRAVACHOL; PRAVASTATIN SODIUM
BindingDB_50007260	LORELCO; PROBUCOL
BindingDB_50007391	DRONABINOL; DRONABINOL
BindingDB_50007664	CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE
BindingDB_50008072	OCUSERT PILO-20; PILOCARPINE
BindingDB_50008789	REGITINE; PHENTOLAMINE MESYLATE
BindingDB_50008935	HYCAMTIN; TOPOTECAN HYDROCHLORIDE
BindingDB_50008979	ALFENTA; ALFENTANIL HYDROCHLORIDE
BindingDB_50008984	DURAGESIC-100; FENTANYL
BindingDB_50009073	ACCOLATE; ZAFIRLUKAST
BindingDB_50009404	CLOBETASOL PROPIONATE; CLOBETASOL PROPIONATE
BindingDB_50009834	DEPACON; VALPROATE SODIUM
BindingDB_50009855	ACULAR; KETOROLAC TROMETHAMINE
BindingDB_50009859	ACHES-N-PAIN; IBUPROFEN
BindingDB_50010101	BENTYL; DICYCLOMINE HYDROCHLORIDE
BindingDB_50010875	DESVENLAFAXINE; DESVENLAFAXINE
BindingDB_50011181	FOSCAVIR; FOSCARNET SODIUM
BindingDB_50011192	ENALAPRILAT; ENALAPRILAT
BindingDB_50011780	ATNAA; PRALIDOXIME CHLORIDE
BindingDB_50012000	MESTINON; PYRIDOSTIGMINE BROMIDE
BindingDB_50012896	MECLODIUM; MECLOFENAMATE SODIUM
BindingDB_50012899	CLINORIL; SULINDAC
BindingDB_50012913	NEPAFENAC; NEPAFENAC
BindingDB_50012956	GLIPIZIDE; GLIPIZIDE
BindingDB_50012957	DIABETA; GLYBURIDE
BindingDB_50012986	APOKYN; APOMORPHINE HYDROCHLORIDE
BindingDB_50013111	LAMIVUDINE AND STAVUDINE; STAVUDINE
BindingDB_50013775	OXYTOCIN; OXYTOCIN
BindingDB_50014540	ATNAA; ATROPINE
BindingDB_50014555	CARBACHOL; CARBACHOL
BindingDB_50015950	BICNU; CARMUSTINE
BindingDB_50016799	ETODOLAC; ETODOLAC
BindingDB_50017075	LEVO-DROMORAN; LEVORPHANOL TARTRATE
BindingDB_50017123	CAPOTEN; CAPTOPRIL
BindingDB_50017124	RENORMAX; SPIRAPRIL HYDROCHLORIDE
BindingDB_50017129	ENALAPRIL MALEATE; ENALAPRIL MALEATE
BindingDB_50017233	LEVO-DROMORAN; LEVORPHANOL TARTRATE
BindingDB_50017543	PERMAX; PERGOLIDE MESYLATE
BindingDB_50017654	EMLA; PRILOCAINE
BindingDB_50017655	FLUPHENAZINE; FLUPHENAZINE DECANOATE
BindingDB_50017656	NAPHCON-A; NAPHAZOLINE HYDROCHLORIDE
BindingDB_50017659	PLIAGLIS; TETRACAINE
BindingDB_50017662	ALPHACAINE; LIDOCAINE
BindingDB_50017664	EXPAREL; BUPIVACAINE
BindingDB_50017667	BEPADIN; BEPRIDIL HYDROCHLORIDE
BindingDB_50017670	CYCLAINE; HEXYLCAINE HYDROCHLORIDE
BindingDB_50017674	ANTITUSSIVE; DIPHENHYDRAMINE HYDROCHLORIDE
BindingDB_50017679	DIBENZYLINE; PHENOXYBENZAMINE HYDROCHLORIDE
BindingDB_50017681	CARDIOQUIN; QUINIDINE POLYGALACTURONATE
BindingDB_50017696	PROMETHAZINE; PROMETHAZINE HYDROCHLORIDE
BindingDB_50017698	IMODIUM; LOPERAMIDE HYDROCHLORIDE
BindingDB_50017701	XENAZINE; TETRABENAZINE
BindingDB_50017705	DROPERIDOL; DROPERIDOL
BindingDB_50017707	SEPTOCAINE; ARTICAINE HYDROCHLORIDE
BindingDB_50017712	CAM-AP-ES; RESERPINE
BindingDB_50017718	ALCAINE; PROPARACAINE HYDROCHLORIDE
BindingDB_50017811	DROXIA; HYDROXYUREA
BindingDB_50018518	LAMISIL; TERBINAFINE
BindingDB_50018991	CIMETIDINE; CIMETIDINE
BindingDB_50019167	TRIDIONE; TRIMETHADIONE
BindingDB_50019213	CLONAZEPAM; CLONAZEPAM
BindingDB_50019351	AMBENYL; BROMODIPHENHYDRAMINE HYDROCHLORIDE
BindingDB_50019443	PINDOLOL; PINDOLOL
BindingDB_50019624	EMADINE; EMEDASTINE DIFUMARATE
BindingDB_50020805	TIOPRONIN; TIOPRONIN
BindingDB_50021553	ASTRAMORPH PF; MORPHINE SULFATE
BindingDB_50021927	ANAFRANIL; CLOMIPRAMINE HYDROCHLORIDE
BindingDB_50021954	UNASYN; AMPICILLIN SODIUM
BindingDB_50022191	FELDENE; PIROXICAM
BindingDB_50022271	ACTRON; KETOPROFEN
BindingDB_50022309	AZOLID; PHENYLBUTAZONE
BindingDB_50022722	BIPHETAP; BROMPHENIRAMINE MALEATE
BindingDB_50022784	STRATTERA; ATOMOXETINE HYDROCHLORIDE
BindingDB_50022787	BICILLIN; PENICILLIN G BENZATHINE
BindingDB_50022788	CLOXAPEN; CLOXACILLIN SODIUM
BindingDB_50022815	CYCLOSPORINE; CYCLOSPORINE
BindingDB_50022889	LARIAM; MEFLOQUINE HYDROCHLORIDE
BindingDB_50023575	XYREM; SODIUM OXYBATE
BindingDB_50024315	BETAPACE; SOTALOL HYDROCHLORIDE
BindingDB_50024321	PEPTAVLON; PENTAGASTRIN
BindingDB_50024894	MONUROL; FOSFOMYCIN TROMETHAMINE
BindingDB_50025837	ALKERAN; MELPHALAN
BindingDB_50026472	DIMETHYL SULFOXIDE; DIMETHYL SULFOXIDE
BindingDB_50026604	ANTURANE; SULFINPYRAZONE
BindingDB_50026752	DEMEROL; MEPERIDINE HYDROCHLORIDE
BindingDB_50026777	VASOXYL; METHOXAMINE HYDROCHLORIDE
BindingDB_50027061	ALBALON; NAPHAZOLINE HYDROCHLORIDE
BindingDB_50027071	WYTENSIN; GUANABENZ ACETATE
BindingDB_50027075	OCUCLEAR; OXYMETAZOLINE HYDROCHLORIDE
BindingDB_50027502	ALDOCLOR-150; CHLOROTHIAZIDE
BindingDB_50027536	FOSCARNET SODIUM; FOSCARNET SODIUM
BindingDB_50027835	GEN-XENE; CLORAZEPATE DIPOTASSIUM
BindingDB_50027886	ORINASE; TOLBUTAMIDE
BindingDB_50027940	BROMDAY; BROMFENAC SODIUM
BindingDB_50028111	CISPLATIN; CISPLATIN
BindingDB_50028166	METOPIRONE; METYRAPONE
BindingDB_50028282	IMIPRAMINE HYDROCHLORIDE; IMIPRAMINE HYDROCHLORIDE
BindingDB_50028289	DESIPRAMINE HYDROCHLORIDE; DESIPRAMINE HYDROCHLORIDE
